Object,Time
DAMAGED,2023-04-29 22:12:03.360164
DAMAGED,2023-04-29 22:12:03.369165
DAMAGED,2023-04-29 22:12:03.369165
DAMAGED,2023-04-29 22:12:03.429161
DAMAGED,2023-04-29 22:12:03.438162
DAMAGED,2023-04-29 22:12:03.439165
DAMAGED,2023-04-29 22:12:03.495161
DAMAGED,2023-04-29 22:12:03.505161
DAMAGED,2023-04-29 22:12:03.507163
DAMAGED,2023-04-29 22:12:03.562163
DAMAGED,2023-04-29 22:12:03.571161
DAMAGED,2023-04-29 22:12:03.573161
DAMAGED,2023-04-29 22:12:03.631162
DAMAGED,2023-04-29 22:12:03.640161
DAMAGED,2023-04-29 22:12:03.643162
DAMAGED,2023-04-29 22:12:03.698161
DAMAGED,2023-04-29 22:12:03.710162
DAMAGED,2023-04-29 22:12:03.711163
DAMAGED,2023-04-29 22:12:03.767163
DAMAGED,2023-04-29 22:12:03.774161
DAMAGED,2023-04-29 22:12:03.776161
DAMAGED,2023-04-29 22:12:03.830166
DAMAGED,2023-04-29 22:12:03.842162
DAMAGED,2023-04-29 22:12:03.844162
DAMAGED,2023-04-29 22:12:03.897161
DAMAGED,2023-04-29 22:12:03.911161
DAMAGED,2023-04-29 22:12:03.913165
DAMAGED,2023-04-29 22:12:03.968161
DAMAGED,2023-04-29 22:12:03.975163
DAMAGED,2023-04-29 22:12:03.979161
DAMAGED,2023-04-29 22:12:04.036161
DAMAGED,2023-04-29 22:12:04.044161
DAMAGED,2023-04-29 22:12:04.046161
DAMAGED,2023-04-29 22:12:04.105161
DAMAGED,2023-04-29 22:12:04.112163
DAMAGED,2023-04-29 22:12:04.115167
DAMAGED,2023-04-29 22:12:04.172164
DAMAGED,2023-04-29 22:12:04.180161
DAMAGED,2023-04-29 22:12:04.180161
DAMAGED,2023-04-29 22:12:04.238162
DAMAGED,2023-04-29 22:12:04.246161
DAMAGED,2023-04-29 22:12:04.248161
DAMAGED,2023-04-29 22:12:04.310161
DAMAGED,2023-04-29 22:12:04.314162
DAMAGED,2023-04-29 22:12:04.316164
DAMAGED,2023-04-29 22:12:04.377160
DAMAGED,2023-04-29 22:12:04.380162
DAMAGED,2023-04-29 22:12:04.384162
DAMAGED,2023-04-29 22:12:04.445162
DAMAGED,2023-04-29 22:12:04.447161
DAMAGED,2023-04-29 22:12:04.455161
GOOD,2023-04-29 22:12:04.509161
GOOD,2023-04-29 22:12:04.513161
GOOD,2023-04-29 22:12:04.529162
GOOD,2023-04-29 22:12:04.575161
